recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
90,94428006,3,94591846,1275
90,94428006,4,95087462,1271
90,94428006,5,94595942,1264
90,94428006,6,94944102,1259
90,94428006,7,95210342,1258
91,95475522,0,96008002,1356
91,95475522,1,95622978,1222
91,95475522,2,96515906,1189
91,95475522,3,96266050,1185
91,95475522,4,96298818,1171
91,95475522,5,96458562,1170
91,95475522,6,95790914,1158
91,95475522,7,96053058,1150
92,96523305,0,97362985,1361
92,96523305,1,97047593,1356
92,96523305,2,97436713,1330
92,96523305,3,96760873,1325
92,96523305,4,97231913,1295
92,96523305,5,96748585,1281
92,96523305,6,96687145,1280
92,96523305,7,97457193,1274
93,97572014,0,97875118,1351
93,97572014,1,97862830,1350
93,97572014,2,98272430,1326
93,97572014,3,97813678,1319
93,97572014,4,97850542,1318
93,97572014,5,97871022,1301
93,97572014,6,98436270,1290
93,97572014,7,97694894,1287
94,98619736,0,98722136,1317
94,98619736,1,99107160,1291
94,98619736,2,98898264,1289
94,98619736,3,99639640,1283
94,98619736,4,98947416,1268
94,98619736,5,99549528,1268
94,98619736,6,98951512,1265
94,98619736,7,99352920,1264
95,99667131,0,100154555,1373
95,99667131,1,99716283,1338
95,99667131,2,100379835,1292
95,99667131,3,100023483,1280
95,99667131,4,100093115,1273
95,99667131,5,100388027,1270
95,99667131,6,99871931,1263
95,99667131,7,100400315,1260
96,100715632,0,101575792,1351
96,100715632,1,101244016,1309
96,100715632,2,101506160,1287
96,100715632,3,101629040,1278
96,100715632,4,101076080,1276
96,100715632,5,101600368,1270
96,100715632,6,100977776,1267
96,100715632,7,101514352,1265
97,101762496,0,102012352,1362
97,101762496,1,102716864,1314
97,101762496,2,102086080,1311
97,101762496,3,101819840,1300
97,101762496,4,102774208,1270
97,101762496,5,102426048,1263
97,101762496,6,102794688,1263
97,101762496,7,102356416,1256
98,102809583,0,103325679,1384
98,102809583,1,103264239,1322
98,102809583,2,103329775,1299
98,102809583,3,103829487,1287
98,102809583,4,103792623,1270
98,102809583,5,103763951,1268
98,102809583,6,102981615,1267
98,102809583,7,103165935,1260
0,0,0,860160,986
0,0,1,0,943
0,0,2,380928,779
0,0,3,937984,766
0,0,4,913408,758
0,0,5,917504,758
0,0,6,16384,732
0,0,7,909312,684
1,1048219,0,1060507,979
1,1048219,1,1175195,943
1,1048219,2,1658523,844
1,1048219,3,1085083,822
1,1048219,4,1150619,822
1,1048219,5,1957531,819
1,1048219,6,1662619,818
1,1048219,7,1080987,816
2,2097908,0,2384628,1636
2,2097908,1,2401012,1592
2,2097908,2,2396916,1558
2,2097908,3,3072756,1548
2,2097908,4,2388724,1533
