region,baseline_payload,candidate_payload,assignment_cost,span_cost,copy_cost,candidate_total,saving_bytes,improvement_percent,status
137,241143,241143,0,0,0,241143,0,0.0000,REJECTED_SAVED
138,239515,239515,0,0,0,239515,0,0.0000,REJECTED_SAVED
139,244381,244381,0,0,0,244381,0,0.0000,REJECTED_SAVED
140,250303,250303,0,0,0,250303,0,0.0000,REJECTED_SAVED
141,262370,262370,0,0,0,262370,0,0.0000,REJECTED_SAVED
142,252130,252130,0,0,0,252130,0,0.0000,REJECTED_SAVED
143,245067,245067,0,0,0,245067,0,0.0000,REJECTED_SAVED
144,189586,189586,0,0,0,189586,0,0.0000,REJECTED_SAVED
145,246983,246983,0,0,0,246983,0,0.0000,REJECTED_SAVED
146,247502,247502,0,0,0,247502,0,0.0000,REJECTED_SAVED
147,243168,243168,0,0,0,243168,0,0.0000,REJECTED_SAVED
148,237047,237047,0,0,0,237047,0,0.0000,REJECTED_SAVED
149,224784,224784,0,0,0,224784,0,0.0000,REJECTED_SAVED
150,192759,192759,0,0,0,192759,0,0.0000,REJECTED_SAVED
151,200318,200318,0,0,0,200318,0,0.0000,REJECTED_SAVED
152,183727,183727,0,0,0,183727,0,0.0000,REJECTED_SAVED
153,194563,194563,0,0,0,194563,0,0.0000,REJECTED_SAVED
154,192011,192011,0,0,0,192011,0,0.0000,REJECTED_SAVED
155,196292,196292,0,0,0,196292,0,0.0000,REJECTED_SAVED
156,165150,165150,0,0,0,165150,0,0.0000,REJECTED_SAVED
157,210860,210860,0,0,0,210860,0,0.0000,REJECTED_SAVED
158,226820,226820,0,0,0,226820,0,0.0000,REJECTED_SAVED
159,202798,202798,0,0,0,202798,0,0.0000,REJECTED_SAVED
160,225917,225917,0,0,0,225917,0,0.0000,REJECTED_SAVED
161,244977,244977,0,0,0,244977,0,0.0000,REJECTED_SAVED
162,241573,241573,0,0,0,241573,0,0.0000,REJECTED_SAVED
163,257324,257324,0,0,0,257324,0,0.0000,REJECTED_SAVED
164,231080,231080,0,0,0,231080,0,0.0000,REJECTED_SAVED
165,265420,265420,0,0,0,265420,0,0.0000,REJECTED_SAVED
166,243547,243547,0,0,0,243547,0,0.0000,REJECTED_SAVED
167,237385,237385,0,0,0,237385,0,0.0000,REJECTED_SAVED
168,249435,249435,0,0,0,249435,0,0.0000,REJECTED_SAVED
169,242546,242546,0,0,0,242546,0,0.0000,REJECTED_SAVED
170,247147,247147,0,0,0,247147,0,0.0000,REJECTED_SAVED
171,203766,203766,0,0,0,203766,0,0.0000,REJECTED_SAVED
172,230085,230085,0,0,0,230085,0,0.0000,REJECTED_SAVED
173,242091,242091,0,0,0,242091,0,0.0000,REJECTED_SAVED
174,202325,202325,0,0,0,202325,0,0.0000,REJECTED_SAVED
175,238800,238800,0,0,0,238800,0,0.0000,REJECTED_SAVED
176,248310,248310,0,0,0,248310,0,0.0000,REJECTED_SAVED
177,238533,238533,0,0,0,238533,0,0.0000,REJECTED_SAVED
178,255943,255943,0,0,0,255943,0,0.0000,REJECTED_SAVED
179,221622,221622,0,0,0,221622,0,0.0000,REJECTED_SAVED
180,246342,246342,0,0,0,246342,0,0.0000,REJECTED_SAVED
181,245466,245466,0,0,0,245466,0,0.0000,REJECTED_SAVED
182,275420,275420,0,0,0,275420,0,0.0000,REJECTED_SAVED
183,220294,220294,0,0,0,220294,0,0.0000,REJECTED_SAVED
184,227979,227979,0,0,0,227979,0,0.0000,REJECTED_SAVED
185,256245,256245,0,0,0,256245,0,0.0000,REJECTED_SAVED
186,224907,224907,0,0,0,224907,0,0.0000,REJECTED_SAVED
187,274307,274307,0,0,0,274307,0,0.0000,REJECTED_SAVED
188,277983,277983,0,0,0,277983,0,0.0000,REJECTED_SAVED
189,275100,275100,0,0,0,275100,0,0.0000,REJECTED_SAVED
190,283704,283704,0,0,0,283704,0,0.0000,REJECTED_SAVED
191,273037,273037,0,0,0,273037,0,0.0000,REJECTED_SAVED
192,274878,274878,0,0,0,274878,0,0.0000,REJECTED_SAVED
193,274876,274876,0,0,0,274876,0,0.0000,REJECTED_SAVED
194,278323,278323,0,0,0,278323,0,0.0000,REJECTED_SAVED
195,258827,258827,0,0,0,258827,0,0.0000,REJECTED_SAVED
196,271642,271642,0,0,0,271642,0,0.0000,REJECTED_SAVED
197,284998,284998,0,0,0,284998,0,0.0000,REJECTED_SAVED
198,279287,279287,0,0,0,279287,0,0.0000,REJECTED_SAVED
199,253420,253420,0,0,0,253420,0,0.0000,REJECTED_SAVED
200,278393,278393,0,0,0,278393,0,0.0000,REJECTED_SAVED
201,277050,277050,0,0,0,277050,0,0.0000,REJECTED_SAVED
202,278180,278180,0,0,0,278180,0,0.0000,REJECTED_SAVED
203,276904,276904,0,0,0,276904,0,0.0000,REJECTED_SAVED
204,259736,259736,0,0,0,259736,0,0.0000,REJECTED_SAVED
205,251699,251699,0,0,0,251699,0,0.0000,REJECTED_SAVED
206,251074,251074,0,0,0,251074,0,0.0000,REJECTED_SAVED
207,271180,271180,0,0,0,271180,0,0.0000,REJECTED_SAVED
208,266524,266524,0,0,0,266524,0,0.0000,REJECTED_SAVED
209,255674,255674,0,0,0,255674,0,0.0000,REJECTED_SAVED
210,223556,223556,0,0,0,223556,0,0.0000,REJECTED_SAVED
211,250685,250685,0,0,0,250685,0,0.0000,REJECTED_SAVED
212,234631,234631,0,0,0,234631,0,0.0000,REJECTED_SAVED
213,248929,248929,0,0,0,248929,0,0.0000,REJECTED_SAVED
214,244043,244043,0,0,0,244043,0,0.0000,REJECTED_SAVED
215,280238,280238,0,0,0,280238,0,0.0000,REJECTED_SAVED
216,260090,260090,0,0,0,260090,0,0.0000,REJECTED_SAVED
217,239313,239313,0,0,0,239313,0,0.0000,REJECTED_SAVED
218,260936,260936,0,0,0,260936,0,0.0000,REJECTED_SAVED
219,263732,263732,0,0,0,263732,0,0.0000,REJECTED_SAVED
220,260604,260604,0,0,0,260604,0,0.0000,REJECTED_SAVED
221,228802,228802,0,0,0,228802,0,0.0000,REJECTED_SAVED
222,260537,260537,0,0,0,260537,0,0.0000,REJECTED_SAVED
223,266269,266269,0,0,0,266269,0,0.0000,REJECTED_SAVED
224,253980,253980,0,0,0,253980,0,0.0000,REJECTED_SAVED
225,266889,266889,0,0,0,266889,0,0.0000,REJECTED_SAVED
226,264955,264955,0,0,0,264955,0,0.0000,REJECTED_SAVED
227,269034,269034,0,0,0,269034,0,0.0000,REJECTED_SAVED
228,268210,268210,0,0,0,268210,0,0.0000,REJECTED_SAVED
229,263889,263889,0,0,0,263889,0,0.0000,REJECTED_SAVED
230,267402,267402,0,0,0,267402,0,0.0000,REJECTED_SAVED
231,267259,267259,0,0,0,267259,0,0.0000,REJECTED_SAVED
232,256070,256070,0,0,0,256070,0,0.0000,REJECTED_SAVED
233,273519,273519,0,0,0,273519,0,0.0000,REJECTED_SAVED
234,278875,278875,0,0,0,278875,0,0.0000,REJECTED_SAVED
235,275746,275746,0,0,0,275746,0,0.0000,REJECTED_SAVED
236,254459,254459,0,0,0,254459,0,0.0000,REJECTED_SAVED
237,242051,242051,0,0,0,242051,0,0.0000,REJECTED_SAVED
238,252169,252169,0,0,0,252169,0,0.0000,REJECTED_SAVED
239,262561,262561,0,0,0,262561,0,0.0000,REJECTED_SAVED
240,249189,249189,0,0,0,249189,0,0.0000,REJECTED_SAVED
241,260014,260014,0,0,0,260014,0,0.0000,REJECTED_SAVED
242,257439,257439,0,0,0,257439,0,0.0000,REJECTED_SAVED
243,267073,267073,0,0,0,267073,0,0.0000,REJECTED_SAVED
244,234856,234856,0,0,0,234856,0,0.0000,REJECTED_SAVED
245,234809,234809,0,0,0,234809,0,0.0000,REJECTED_SAVED
246,221271,221271,0,0,0,221271,0,0.0000,REJECTED_SAVED
247,264427,264427,0,0,0,264427,0,0.0000,REJECTED_SAVED
248,241777,241777,0,0,0,241777,0,0.0000,REJECTED_SAVED
249,231580,231580,0,0,0,231580,0,0.0000,REJECTED_SAVED
250,166052,166052,0,0,0,166052,0,0.0000,REJECTED_SAVED
