offset,length,experts,stream_class,profile,residual_gain,pack_id,status
42748,119,oracle+donor_profile,xml,0,0.25,182892,oracle_only
42870,116,oracle+donor_profile,xml,0,0.25,182893,oracle_only
42989,116,oracle+donor_profile,xml,0,0.25,182894,oracle_only
43108,125,oracle+donor_profile,xml,0,0.25,182895,oracle_only
43236,119,oracle+donor_profile,xml,0,0.25,182896,oracle_only
43358,150,oracle+donor_profile,xml,0,0.25,182897,oracle_only
43511,137,oracle+donor_profile,xml,0,0.25,182898,oracle_only
43651,113,oracle+donor_profile,xml,0,0.25,182899,oracle_only
43767,155,oracle+donor_profile,xml,0,0.25,182900,oracle_only
43925,145,oracle+donor_profile,xml,0,0.25,182901,oracle_only
44073,121,oracle+donor_profile,xml,0,0.25,182902,oracle_only
44197,114,oracle+donor_profile,xml,0,0.25,182903,oracle_only
44314,104,oracle+donor_profile,xml,0,0.25,182904,oracle_only
44421,114,oracle+donor_profile,xml,0,0.25,182905,oracle_only
44538,89,oracle+donor_profile,xml,0,0.25,182906,oracle_only
44630,160,oracle+donor_profile,xml,0,0.25,182907,oracle_only
44793,140,oracle+donor_profile,xml,0,0.25,182908,oracle_only
44936,141,oracle+donor_profile,xml,0,0.25,182909,oracle_only
45080,149,oracle+donor_profile,xml,0,0.25,182910,oracle_only
45232,109,oracle+donor_profile,xml,0,0.25,182911,oracle_only
45344,124,oracle+donor_profile,xml,0,0.25,182912,oracle_only
45471,111,oracle+donor_profile,xml,0,0.25,182913,oracle_only
45585,113,oracle+donor_profile,xml,0,0.25,182914,oracle_only
45701,122,oracle+donor_profile,xml,0,0.25,182915,oracle_only
45826,139,oracle+donor_profile,xml,0,0.25,182916,oracle_only
45968,131,oracle+donor_profile,xml,0,0.25,182917,oracle_only
46102,117,oracle+donor_profile,xml,0,0.25,182918,oracle_only
46222,110,oracle+donor_profile,xml,0,0.25,182919,oracle_only
46335,121,oracle+donor_profile,xml,0,0.25,182920,oracle_only
46459,110,oracle+donor_profile,xml,0,0.25,182921,oracle_only
46572,121,oracle+donor_profile,xml,0,0.25,182922,oracle_only
46696,144,oracle+donor_profile,xml,0,0.25,182923,oracle_only
46843,124,oracle+donor_profile,xml,0,0.25,182924,oracle_only
46970,127,oracle+donor_profile,xml,0,0.25,182925,oracle_only
47100,193,oracle+donor_profile,xml,0,0.25,182926,oracle_only
47296,195,oracle+donor_profile,xml,0,0.25,182927,oracle_only
47494,152,oracle+donor_profile,xml,0,0.25,182928,oracle_only
47649,115,oracle+donor_profile,xml,0,0.25,182929,oracle_only
47767,122,oracle+donor_profile,xml,0,0.25,182930,oracle_only
47892,110,oracle+donor_profile,xml,0,0.25,182931,oracle_only
48005,146,oracle+donor_profile,xml,0,0.25,182932,oracle_only
48154,120,oracle+donor_profile,xml,0,0.25,182933,oracle_only
48277,131,oracle+donor_profile,xml,0,0.25,182934,oracle_only
48411,108,oracle+donor_profile,xml,0,0.25,182935,oracle_only
48522,154,oracle+donor_profile,xml,0,0.25,182936,oracle_only
48679,122,oracle+donor_profile,xml,0,0.25,182937,oracle_only
48804,120,oracle+donor_profile,xml,0,0.25,182938,oracle_only
48927,112,oracle+donor_profile,xml,0,0.25,182939,oracle_only
49042,136,oracle+donor_profile,xml,0,0.25,182940,oracle_only
49181,120,oracle+donor_profile,xml,0,0.25,182941,oracle_only
49304,121,oracle+donor_profile,xml,0,0.25,182942,oracle_only
49428,112,oracle+donor_profile,xml,0,0.25,182943,oracle_only
49543,148,oracle+donor_profile,xml,0,0.25,182944,oracle_only
49694,130,oracle+donor_profile,xml,0,0.25,182945,oracle_only
49827,125,oracle+donor_profile,xml,0,0.25,182946,oracle_only
49955,109,oracle+donor_profile,xml,0,0.25,182947,oracle_only
50067,164,oracle+donor_profile,xml,0,0.25,182948,oracle_only
50234,117,oracle+donor_profile,xml,0,0.25,182949,oracle_only
50354,112,oracle+donor_profile,xml,0,0.25,182950,oracle_only
50469,134,oracle+donor_profile,xml,0,0.25,182951,oracle_only
50606,121,oracle+donor_profile,xml,0,0.25,182952,oracle_only
50730,119,oracle+donor_profile,xml,0,0.25,182953,oracle_only
50852,121,oracle+donor_profile,xml,0,0.25,182954,oracle_only
50976,117,oracle+donor_profile,xml,0,0.25,182955,oracle_only
51096,127,oracle+donor_profile,xml,0,0.25,182956,oracle_only
51226,205,oracle+donor_profile,xml,0,0.25,182957,oracle_only
51434,117,oracle+donor_profile,xml,0,0.25,182958,oracle_only
51554,141,oracle+donor_profile,xml,0,0.25,182959,oracle_only
51698,106,oracle+donor_profile,xml,0,0.25,182960,oracle_only
51807,99,oracle+donor_profile,xml,0,0.25,182961,oracle_only
51909,130,oracle+donor_profile,xml,0,0.25,182962,oracle_only
52042,127,oracle+donor_profile,xml,0,0.25,182963,oracle_only
52172,138,oracle+donor_profile,xml,0,0.25,182964,oracle_only
52313,89,oracle+donor_profile,xml,0,0.25,182965,oracle_only
52405,111,oracle+donor_profile,xml,0,0.25,182966,oracle_only
52519,116,oracle+donor_profile,xml,0,0.25,182967,oracle_only
52638,124,oracle+donor_profile,xml,0,0.25,182968,oracle_only
52765,130,oracle+donor_profile,xml,0,0.25,182969,oracle_only
52898,123,oracle+donor_profile,xml,0,0.25,182970,oracle_only
53024,112,oracle+donor_profile,xml,0,0.25,182971,oracle_only
