pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits
53,13689653,262099,4,7626752,4096,2,2
53,13689653,262099,5,7737344,4096,2,2
53,13689653,262099,6,8429568,4096,2,2
53,13689653,262099,7,9224192,4096,2,2
53,13689653,262099,8,11169792,4096,2,2
53,13689653,262099,9,11366400,4096,2,2
53,13689653,262099,10,11505664,4096,2,2
53,13689653,262099,11,12652544,4096,2,2
54,13951755,260873,0,3108864,4096,2,2
54,13951755,260873,1,4403200,4096,2,2
54,13951755,260873,2,11157504,4096,2,2
54,13951755,260873,3,12009472,4096,2,2
54,13951755,260873,4,13307904,4096,2,2
54,13951755,260873,5,13316096,4096,2,2
54,13951755,260873,6,13381632,4096,2,2
54,13951755,260873,7,13656064,4096,2,2
